event_id,user_object_id,action,object_id,event_time,result
1,24078780-828d-4675-9864-be92782e05cd,READ_RESIDENT_LIST,residents,2026-08-09T17:54:35.150272+00:00,ALLOW
2,24078780-828d-4675-9864-be92782e05cd,OPEN_CARE_NOTES,care-notes,2026-08-09T17:55:03.358988+00:00,ALLOW
3,24078780-828d-4675-9864-be92782e05cd,"ACCESS /clinical",/clinical,2026-08-09T17:55:32.002641+00:00,"DENY: role not permitted"
4,24078780-828d-4675-9864-be92782e05cd,READ_RESIDENT_LIST,residents,2026-08-09T17:55:51.812697+00:00,ALLOW
5,24078780-828d-4675-9864-be92782e05cd,"ACCESS /review",/review,2026-08-09T17:56:12.740725+00:00,"DENY: role not permitted"
6,24078780-828d-4675-9864-be92782e05cd,"ACCESS /review",/review,2026-08-09T17:56:20.367415+00:00,"DENY: role not permitted"
7,24078780-828d-4675-9864-be92782e05cd,"ACCESS /app-audit",/app-audit,2026-08-09T17:56:31.281461+00:00,"DENY: role not permitted"
8,d875d2a3-b835-4119-9dca-e64793a7318c,OPEN_CLINICAL,clinical,2026-08-09T18:33:12.502645+00:00,ALLOW
9,d875d2a3-b835-4119-9dca-e64793a7318c,READ_RESIDENT_LIST,residents,2026-08-09T18:34:41.382980+00:00,ALLOW
10,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:45:07.558852+00:00,ALLOW
11,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:45:17.039993+00:00,ALLOW
12,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:45:18.899076+00:00,ALLOW
13,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:45:19.765830+00:00,ALLOW
14,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:45:20.290239+00:00,ALLOW
15,866cfd9d-3c65-4a02-9193-dab661230ea1,"ACCESS /residents",/residents,2026-08-09T18:46:15.130119+00:00,"DENY: role not permitted"
16,866cfd9d-3c65-4a02-9193-dab661230ea1,"ACCESS /residents",/residents,2026-08-09T18:46:15.505132+00:00,"DENY: role not permitted"
17,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:46:18.566726+00:00,ALLOW
18,866cfd9d-3c65-4a02-9193-dab661230ea1,READ_APP_AUDIT,app-audit,2026-08-09T18:46:25.731670+00:00,ALLOW
